Strain,Treat,Ind,Date_Dissection,Num_Dev_Foll,Num_Eggs_Dep,Comb_Eggs_Per_Fem
pip,Hi,1,12202018,0,NA,0
pip,Hi,2,12202018,0,NA,0
pip,Hi,3,12202018,0,NA,0
pip,Hi,4,12202018,0,NA,0
pip,Hi,5,12202018,0,NA,0
pip,Med,1,12202018,0,NA,0
pip,Med,2,12202018,0,NA,0
pip,Med,3,12202018,0,NA,0
pip,Med,4,12202018,0,NA,0
pip,Med,5,12202018,0,NA,0
pip,Low,1,12202018,0,NA,0
pip,Low,2,12202018,0,NA,0
pip,Low,3,12202018,0,NA,0
pip,Low,4,12202018,0,NA,0
pip,Xlow,1,12212018,0,NA,0
pip,Xlow,2,12212018,0,NA,0
pip,Xlow,3,12212018,0,NA,0
pip,Xlow,4,12212018,0,NA,0
pip,Xlow,5,12212018,0,NA,0
mol,Hi,1,12212018,36,NA,36
mol,Hi,2,12212018,61,NA,61
mol,Hi,3,12212018,50,NA,50
mol,Hi,4,12212018,49,NA,49
mol,Hi,5,12212018,78,NA,78
mol,Hi,6,12212018,66,NA,66
mol,Hi,7,12212018,63,NA,63
mol,Hi,8,12212018,90,NA,90
mol,Hi,9,12212018,52,NA,52
mol,Hi,10,12212018,50,NA,50
mol,Hi,11,12212018,63,NA,63
mol,Hi,12,12212018,51,NA,51
mol,Med,1,12212018,1,,1
mol,Med,2,12212018,54,,54
mol,Med,3,12212018,NA,33,33
mol,Med,4,12212018,NA,34,34
mol,Med,5,12212018,NA,26,26
mol,Med,6,12212018,59,NA,59
mol,Med,7,12212018,54,NA,54
mol,Med,8,12212018,NA,64,64
mol,Med,9,12212018,NA,57,57
mol,Med,10,12212018,34,NA,34
mol,Med,11,12212018,NA,65,65
mol,Med,12,12212018,36,NA,36
mol,Med,13,12212018,NA,23,23
mol,Med,14,12212018,NA,46,46
mol,Med,15,12212018,1,NA,1
mol,Med,16,12212018,NA,60,60
mol,Med,17,12212018,NA,71,71
mol,Low,1,12212018,NA,10,10
mol,Low,2,12212018,28,NA,28
mol,Low,3,12212018,26,NA,26
mol,Low,4,12212018,20,NA,20
mol,Low,5,12212018,NA,30,30
mol,Low,6,12212018,46,,46
mol,Low,7,12212018,13,,13
mol,Low,8,12212018,33,,33
mol,Low,9,12212018,40,,40
mol,Low,10,12212018,NA,40,40
mol,Low,11,12212018,42,NA,42
mol,Low,12,12212018,34,NA,34
mol,Low,13,12212018,26,NA,26
mol,Low,14,12212018,35,NA,35
mol,Low,15,12212018,15,NA,15
mol,Low,16,12212018,34,NA,34
mol,Low,17,12212018,2,NA,2
mol,Xlow,1,12262018,19,NA,19
mol,Xlow,2,12262018,40,NA,40
mol,Xlow,3,12262018,19,NA,19
mol,Xlow,4,12262018,15,NA,15
mol,Xlow,5,12262018,14,NA,14
