Strain,Treat,Ind,Date_Dissection,Date_Frozen,Num_Dev_Foll,Num_Eggs_Dep,Comb_Eggs_Per_Fem
mol,High,1,11/7/19,11/6/19,59,,
mol,High,2,11/7/19,11/6/19,47,,
mol,High,3,11/7/19,11/6/19,49,,
mol,High,4,11/7/19,11/6/19,37,,
mol,High,5,11/7/19,11/6/19,37,,
mol,High,6,11/7/19,11/6/19,37,,
mol,High,7,11/7/19,11/6/19,47,,
mol,High,8,11/7/19,11/6/19,46,,
mol,High,9,11/7/19,11/6/19,55,,
mol,High,10,11/7/19,11/6/19,45,,
mol,High,11,11/7/19,11/6/19,52,,
mol,Medium,1,11/7/19,11/6/19,0,,
mol,Medium,2,11/7/19,11/6/19,46,,
mol,Medium,3,11/7/19,11/6/19,48,,
mol,Medium,4,11/7/19,11/6/19,39,,
mol,Medium,5,11/7/19,11/6/19,44,,
mol,Medium,6,11/7/19,11/6/19,39,,
mol,Medium,7,11/8/19,11/7/19,38,,
mol,Medium,8,11/8/19,11/7/19,31,,
mol,Medium,9,11/8/19,11/7/19,47,,
mol,High,12,11/18/19,11/7/19,39,,
mol,High,13,11/18/19,11/7/19,43,,
mol,High,14,11/18/19,11/7/19,54,,
mol,High,15,11/18/19,11/7/19,32,,
mol,High,16,11/18/19,11/7/19,41,,
mol,Low,1,11/18/19,11/7/19,19,,
mol,Low,2,11/18/19,11/7/19,17,,
mol,Low,3,11/18/19,11/7/19,18,,
mol,Low,4,11/19/19,11/7/19,29,,
mol,Low,5,11/19/19,11/7/19,34,,
mol,Low,6,11/19/19,11/7/19,17,,
mol,Low,7,11/19/19,11/7/19,0,,
mol,Low,8,11/19/19,11/7/19,23,,
mol,Low,9,11/19/19,11/7/19,33,,
mol,Low,10,11/19/19,11/7/19,32,,
mol,Low,11,11/19/19,11/7/19,7,,
mol,Low,12,11/19/19,11/7/19,14,,
mol,Low,13,11/19/19,11/7/19,30,,
mol,Low,14,11/19/19,11/7/19,30,,
mol,Low,15,11/19/19,11/7/19,35,,
mol,Low,16,11/19/19,11/7/19,20,,
mol,Low,17,11/19/19,11/7/19,26,,
mol,Low,18,11/19/19,11/11/19,31,,
mol,X.low,1,11/19/19,11/11/19,23,,
mol,X.low,2,11/19/19,11/11/19,14,,
mol,X.low,3,11/19/19,11/15/19,6,,
mol,X.low,4,11/19/19,11/15/19,10,,
mol,X.low,5,11/19/19,11/14/19,5,,
mol,X.low,6,11/19/19,11/14/19,0,,
mol,X.low,7,11/19/19,11/14/19,18,,
mol,X.low,8,11/19/19,11/14/19,0,,
mol,X.low,9,11/19/19,11/14/19,0,,
mol,X.low,10,11/19/19,11/14/19,0,,
mol,X.low,11,11/19/19,11/14/19,0,,
mol,X.low,12,11/19/19,11/14/19,15,,
mol,X.low,13,11/19/19,11/14/19,30,,
mol,X.low,14,11/19/19,11/14/19,20,,
mol,X.low,15,11/19/19,11/14/19,0,,
mol,X.low,16,11/19/19,11/14/19,15,,
mol,Medium,10,11/19/19,11/11/19,31,,
