Strain,Food_Treatment,Rep,Days_To_Pupation,Num_Pupae,Cum_Pupae
pip,Hi,1,7,19,19
pip,Med,1,7,14,14
pip,Low,1,7,5,5
pip,Xlow,1,7,0,0
mol,Hi,1,7,0,0
mol,Med,1,7,0,0
mol,Low,1,7,0,0
mol,Xlow,1,7,0,0
pip,Hi,1,8,24,43
pip,Med,1,8,31,45
pip,Low,1,8,33,38
pip,Xlow,1,8,6,6
mol,Hi,1,8,22,22
mol,Med,1,8,17,17
mol,Low,1,8,12,12
mol,Xlow,1,8,0,0
pip,Hi,1,9,3,46
pip,Med,1,9,3,48
pip,Low,1,9,6,44
pip,Xlow,1,9,23,29
mol,Hi,1,9,27,49
mol,Med,1,9,19,36
mol,Low,1,9,19,31
mol,Xlow,1,9,2,2
pip,Hi,1,10,0,46
pip,Med,1,10,2,50
pip,Low,1,10,2,46
pip,Xlow,1,10,8,37
mol,Hi,1,10,4,53
mol,Med,1,10,10,46
mol,Low,1,10,12,43
mol,Xlow,1,10,9,11
pip,Hi,1,11,0,46
pip,Med,1,11,0,50
pip,Low,1,11,0,46
pip,Xlow,1,11,11,48
mol,Hi,1,11,0,53
mol,Med,1,11,5,51
mol,Low,1,11,7,50
mol,Xlow,1,11,9,20
pip,Hi,1,12,0,46
pip,Med,1,12,0,50
pip,Low,1,12,0,46
pip,Xlow,1,12,0,48
mol,Hi,1,12,0,53
mol,Med,1,12,1,52
mol,Low,1,12,1,51
mol,Xlow,1,12,2,22
pip,Hi,1,13,0,46
pip,Med,1,13,0,50
pip,Low,1,13,0,46
pip,Xlow,1,13,1,49
mol,Hi,1,13,0,53
mol,Med,1,13,0,52
mol,Low,1,13,0,51
mol,Xlow,1,13,1,23
pip,Hi,1,14,0,46
pip,Med,1,14,0,50
pip,Low,1,14,0,46
pip,Xlow,1,14,0,49
mol,Hi,1,14,0,53
mol,Med,1,14,0,52
mol,Low,1,14,1,52
mol,Xlow,1,14,10,33
pip,Hi,1,15,0,46
pip,Med,1,15,0,50
pip,Low,1,15,0,46
pip,Xlow,1,15,0,49
mol,Hi,1,15,0,53
mol,Med,1,15,0,52
mol,Low,1,15,0,52
mol,Xlow,1,15,6,39
pip,Hi,1,16,0,46
pip,Med,1,16,0,50
pip,Low,1,16,0,46
pip,Xlow,1,16,0,49
mol,Hi,1,16,0,53
mol,Med,1,16,0,52
mol,Low,1,16,0,52
mol,Xlow,1,16,1,40
pip,Hi,1,17,0,46
pip,Med,1,17,0,50
pip,Low,1,17,0,46
pip,Xlow,1,17,0,49
mol,Hi,1,17,0,53
mol,Med,1,17,0,52
mol,Low,1,17,0,52
mol,Xlow,1,17,4,44
