Strain,Food_Treatment,Rep,Days_To_Pupation,Num_Pupae,Num_Adults,Cum_Pupae
mol,X.low,2,6,0,0,0
pip,X.low,2,6,14,0,14
mol,Low,2,6,14,0,14
pip,Low,2,6,49,3,52
mol,Medium,2,6,40,0,40
pip,Medium,2,6,42,5,47
mol,High,2,6,57,0,57
pip,High,2,6,44,9,53
pip,X.low,2,8,20,1,35
mol,X.low,2,8,1,0,1
pip,Low,2,8,4,1,57
mol,Low,2,8,18,0,32
pip,Medium,2,8,1,1,49
mol,Medium,2,8,16,1,57
pip,High,2,8,0,0,53
mol,High,2,8,1,0,58
pip,X.low,2,10,13,0,48
mol,X.low,2,10,3,1,5
pip,Low,2,10,0,0,57
mol,Low,2,10,13,0,45
pip,Medium,2,10,0,0,49
mol,Medium,2,10,0,0,57
pip,High,2,10,0,0,53
mol,High,2,10,0,0,58
pip,X.low,2,12,2,0,50
mol,X.low,2,12,2,2,9
pip,Low,2,12,0,0,57
mol,Low,2,12,7,0,52
pip,Medium,2,12,0,0,49
mol,Medium,2,12,0,0,57
pip,High,2,12,0,0,53
mol,High,2,12,0,0,58
pip,X.low,2,14,0,0,50
mol,X.low,2,14,6,1,16
pip,Low,2,14,0,0,57
mol,Low,2,14,0,0,52
pip,Medium,2,14,0,0,49
mol,Medium,2,14,0,0,57
pip,High,2,14,0,0,53
mol,High,2,14,0,0,58
pip,X.low,2,16,0,0,50
mol,X.low,2,16,4,0,20
pip,Low,2,16,0,0,57
mol,Low,2,16,2,0,54
pip,Medium,2,16,0,0,49
mol,Medium,2,16,0,0,57
pip,High,2,16,0,0,53
mol,High,2,16,0,0,58
pip,X.low,2,18,0,0,50
mol,X.low,2,18,1,0,21
pip,Low,2,18,0,0,57
mol,Low,2,18,0,0,54
pip,Medium,2,18,0,0,49
mol,Medium,2,18,0,0,57
pip,High,2,18,0,0,53
mol,High,2,18,0,0,58
pip,X.low,2,20,0,0,50
mol,X.low,2,20,3,0,24
pip,Low,2,20,0,0,57
mol,Low,2,20,0,0,54
pip,Medium,2,20,0,0,49
mol,Medium,2,20,0,0,57
pip,High,2,20,0,0,53
mol,High,2,20,0,0,58
pip,X.low,2,22,0,0,50
mol,X.low,2,22,0,0,24
pip,Low,2,22,0,0,57
mol,Low,2,22,0,0,54
pip,Medium,2,22,0,0,49
mol,Medium,2,22,0,0,57
pip,High,2,22,0,0,53
mol,High,2,22,0,0,58
pip,X.low,2,24,0,0,50
mol,X.low,2,24,1,0,25
pip,Low,2,24,0,0,57
mol,Low,2,24,0,0,54
pip,Medium,2,24,0,0,49
mol,Medium,2,24,0,0,57
pip,High,2,24,0,0,53
mol,High,2,24,0,0,58
pip,X.low,2,26,0,0,50
mol,X.low,2,26,0,0,25
pip,Low,2,26,0,0,57
mol,Low,2,26,0,0,54
pip,Medium,2,26,0,0,49
mol,Medium,2,26,0,0,57
pip,High,2,26,0,0,53
mol,High,2,26,0,0,58
pip,X.low,2,28,0,0,50
mol,X.low,2,28,0,0,25
pip,Low,2,28,0,0,57
mol,Low,2,28,0,0,54
pip,Medium,2,28,0,0,49
mol,Medium,2,28,0,0,57
pip,High,2,28,0,0,53
mol,High,2,28,0,0,58
pip,X.low,2,30,0,0,50
mol,X.low,2,30,1,0,26
pip,Low,2,30,0,0,57
mol,Low,2,30,0,0,54
pip,Medium,2,30,0,0,49
mol,Medium,2,30,0,0,57
pip,High,2,30,0,0,53
mol,High,2,30,0,0,58
