Strain,Food_Treatment,Rep,Days_To_Pupation,Num_Pupae,Cum_Pupae
mol,High,4,4,1,1
pip,High,4,4,28,28
mol,Medium,4,4,1,1
pip,Medium,4,4,36,36
mol,Low,4,4,0,0
pip,Low,4,4,25,25
mol,X.low,4,4,0,0
pip,X.low,4,4,0,0
mol,High,4,5,29,30
pip,High,4,5,19,47
mol,Medium,4,5,31,32
pip,Medium,4,5,17,53
mol,Low,4,5,21,21
pip,Low,4,5,20,45
mol,X.low,4,5,0,0
pip,X.low,4,5,9,9
mol,High,4,6,21,51
pip,High,4,6,6,53
mol,Medium,4,6,22,54
pip,Medium,4,6,2,55
mol,Low,4,6,13,34
pip,Low,4,6,7,52
mol,X.low,4,6,0,0
pip,X.low,4,6,5,14
mol,High,4,7,5,56
pip,High,4,7,1,54
mol,Medium,4,7,5,59
pip,Medium,4,7,0,55
mol,Low,4,7,10,44
pip,Low,4,7,1,53
mol,X.low,4,7,8,8
pip,X.low,4,7,12,26
mol,High,4,8,0,56
pip,High,4,8,0,54
mol,Medium,4,8,0,59
pip,Medium,4,8,0,55
mol,Low,4,8,5,49
pip,Low,4,8,0,53
mol,X.low,4,8,2,10
pip,X.low,4,8,6,32
mol,High,4,9,0,56
pip,High,4,9,0,54
mol,Medium,4,9,0,59
pip,Medium,4,9,0,55
mol,Low,4,9,4,53
pip,Low,4,9,0,53
mol,X.low,4,9,8,18
pip,X.low,4,9,11,43
mol,High,4,10,0,56
pip,High,4,10,0,54
mol,Medium,4,10,0,59
pip,Medium,4,10,0,55
mol,Low,4,10,0,53
pip,Low,4,10,0,53
mol,X.low,4,10,1,19
pip,X.low,4,10,1,44
mol,High,4,11,0,56
pip,High,4,11,0,54
mol,Medium,4,11,0,59
pip,Medium,4,11,0,55
mol,Low,4,11,3,56
pip,Low,4,11,0,53
mol,X.low,4,11,7,26
pip,X.low,4,11,1,45
mol,High,4,12,0,56
pip,High,4,12,0,54
mol,Medium,4,12,0,59
pip,Medium,4,12,0,55
mol,Low,4,12,0,56
pip,Low,4,12,0,53
mol,X.low,4,12,3,29
pip,X.low,4,12,2,47
mol,High,4,13,0,56
pip,High,4,13,0,54
mol,Medium,4,13,0,59
pip,Medium,4,13,0,55
mol,Low,4,13,0,56
pip,Low,4,13,0,53
mol,X.low,4,13,3,32
pip,X.low,4,13,1,48
mol,High,4,14,0,56
pip,High,4,14,0,54
mol,Medium,4,14,0,59
pip,Medium,4,14,0,55
mol,Low,4,14,0,56
pip,Low,4,14,0,53
mol,X.low,4,14,4,36
pip,X.low,4,14,0,48
mol,High,4,15,0,56
pip,High,4,15,0,54
mol,Medium,4,15,0,59
pip,Medium,4,15,0,55
mol,Low,4,15,0,56
pip,Low,4,15,0,53
mol,X.low,4,15,5,41
pip,X.low,4,15,1,49
mol,High,4,16,0,56
pip,High,4,16,0,54
mol,Medium,4,16,0,59
pip,Medium,4,16,0,55
mol,Low,4,16,0,56
pip,Low,4,16,0,53
mol,X.low,4,16,5,46
pip,X.low,4,16,0,49
mol,High,4,17,0,56
pip,High,4,17,0,54
mol,Medium,4,17,0,59
pip,Medium,4,17,0,55
mol,Low,4,17,0,56
pip,Low,4,17,0,53
mol,X.low,4,17,1,47
pip,X.low,4,17,0,49
mol,High,4,18,0,56
pip,High,4,18,0,54
mol,Medium,4,18,0,59
pip,Medium,4,18,0,55
mol,Low,4,18,0,56
pip,Low,4,18,0,53
mol,X.low,4,18,2,49
pip,X.low,4,18,0,49
mol,High,4,19,0,56
pip,High,4,19,0,54
mol,Medium,4,19,0,59
pip,Medium,4,19,0,55
mol,Low,4,19,0,56
pip,Low,4,19,0,53
mol,X.low,4,19,0,49
pip,X.low,4,19,0,49
mol,High,4,20,0,56
pip,High,4,20,0,54
mol,Medium,4,20,0,59
pip,Medium,4,20,0,55
mol,Low,4,20,0,56
pip,Low,4,20,0,53
mol,X.low,4,20,0,49
pip,X.low,4,20,0,49
mol,High,4,21,0,56
pip,High,4,21,0,54
mol,Medium,4,21,0,59
pip,Medium,4,21,0,55
mol,Low,4,21,0,56
pip,Low,4,21,0,53
mol,X.low,4,21,0,49
pip,X.low,4,21,0,49
mol,High,4,22,0,56
pip,High,4,22,0,54
mol,Medium,4,22,0,59
pip,Medium,4,22,0,55
mol,Low,4,22,0,56
pip,Low,4,22,0,53
mol,X.low,4,22,0,49
pip,X.low,4,22,0,49
